x_mm,y_mm,thickness_mm
0.000000000000000000e+00,0.000000000000000000e+00,5.250000000000000888e+00
0.000000000000000000e+00,5.128205128205128638e+00,5.250000000000000888e+00
0.000000000000000000e+00,1.025641025641025728e+01,5.250000000000000888e+00
0.000000000000000000e+00,1.538461538461538680e+01,5.250000000000000888e+00
0.000000000000000000e+00,2.051282051282051455e+01,5.250000000000000888e+00
0.000000000000000000e+00,2.564102564102564230e+01,5.250000000000000888e+00
0.000000000000000000e+00,3.076923076923077360e+01,5.250000000000000888e+00
0.000000000000000000e+00,3.589743589743589780e+01,5.250000000000000888e+00
0.000000000000000000e+00,4.102564102564102910e+01,5.250000000000000888e+00
0.000000000000000000e+00,4.615384615384616041e+01,5.250000000000000888e+00
0.000000000000000000e+00,5.128205128205128460e+01,5.250000000000000888e+00
0.000000000000000000e+00,5.641025641025641590e+01,5.250000000000000888e+00
0.000000000000000000e+00,6.153846153846154721e+01,5.250000000000000888e+00
0.000000000000000000e+00,6.666666666666667140e+01,5.250000000000000888e+00
0.000000000000000000e+00,7.179487179487179560e+01,5.250000000000000888e+00
0.000000000000000000e+00,7.692307692307693401e+01,5.250000000000000888e+00
0.000000000000000000e+00,8.205128205128205821e+01,5.250000000000000888e+00
0.000000000000000000e+00,8.717948717948718240e+01,5.250000000000000888e+00
0.000000000000000000e+00,9.230769230769232081e+01,5.250000000000000888e+00
0.000000000000000000e+00,9.743589743589744501e+01,5.250000000000000888e+00
0.000000000000000000e+00,1.025641025641025692e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.076923076923077076e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.128205128205128318e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.179487179487179560e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.230769230769230944e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.282051282051282044e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.333333333333333428e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.384615384615384812e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.435897435897435912e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.487179487179487296e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.538461538461538680e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.589743589743589780e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.641025641025641164e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.692307692307692548e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.743589743589743648e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.794871794871795032e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.846153846153846416e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.897435897435897516e+02,5.250000000000000888e+00
0.000000000000000000e+00,1.948717948717948900e+02,5.250000000000000888e+00
0.000000000000000000e+00,2.000000000000000000e+02,5.250000000000000888e+00
6.122448979591836427e+00,0.000000000000000000e+00,5.250000000000000888e+00
6.122448979591836427e+00,5.128205128205128638e+00,5.669433916188808986e+00
